,,,,,,,,,,,
,"■補足
・重要事項（期限など）は赤文字とする
・アプリ側へ協力を求める作業は青文字とする
・1日の作業時間は(4~6h)で考える　
　※バッファ・会議・割込みタスクを考慮するため
・済作業は「F列（済TODO）」に記載",,,,,,,,,,
,No.,中項目,小項目,内容,済作業,担当者,ステータス,対応期限,見積日数,残作業日数,完了予定週
,1,コスト削減,不要リソースの停止・削除,"■方針（DEVアカウント）
1. 前回使用したリソース一覧を最新化
2. 以下の検討
　- AMI/RDSスナップショットの整理
　- Reserved InstancesまたはSavings Plansの採用
　- RDSのストレージタイプをgp3へ移行
  - CloudWatch Logsを整理し、保存期間を設定
　- CloudWatchアラームの整理
　- IAM Access Analyzerの検討
5. 一覧から削除対象を明らかにする　※意識合わせを実施
6. 削除を実施

■VPCエンドポイントに関しましては、No.42に別途記載","■DONE
・AMI/RDSスナップショットの整理
・VPCエンドポイントの一覧化
 - エンドポイントの統合案の検討
・CloudWatch Logsの一覧化
・IAM Access Analyzerの検討

・VPCエンドポイントの統合のご提案
",加瀬,対応中,-,-,,-
,2,コスト削減,不要リソースの停止・削除,"■TODO
IaC管理下　※IaC経由で削除
　・PRD削除

IaC管理外　※スクリプト or コンソール経由で削除
　・スクリプト作成　※前回使用したものを活用
　・手順書作成
　・DEV削除
　・手順書修正
　・STG削除
　・PRD削除","■DONE
リソース一覧作成
整理（削除 or 残し）
整理（IaC管理下か否か）
IaC管理下　※IaC経由で削除　
　・スマホ向けアセット関連リソースの整理
　・手順書作成
　・DEV削除
　・手順書修正
　・STG削除",石崎,未,-,-,,-
,3,コスト削減,VPCエンドポイントの集約,"■要件
各環境に展開されているInterface型のVPCエンドポイントを、Transit GatewayのHub VPCに集約することで費用削減を図る。

■TODO
・開発環境への適用と動作検証
・ステージング環境への適用と動作検証
・リリース判定
・本番環境への適用と動作検証","■DONE
・VPCエンドポイントの統合のご提案
・開発環境でのPoC検証完了（Hub-lwv間）
・",加瀬,未,-,,,-
,4,セキュリティ要件,"WAF追加導入検討
（APIGateway）","■TODO
リリース判定でのご指摘箇所
　・確認方法の詳細を追記　→　【済】
　・APチームへ事前確認
　　- カウントモードで導入予定のAPIGatewayの動作確認　→　【確認中】
　　- 確認項目の確認方法について、認識あうか　

WAFの導入 
    ・外部アクセスなし
        PRD環境へ導入 2h

    ・外部アクセスあり　※COUNTモードで導入
        PRD環境へ導入","■Done
1. APIGatewayの一覧作成 
　[必要な項目]
　　・環境 2h
　　・認証方式（APIKey、Cognito、Lambda）2h
　　・アクセス先（統合先）2h
　　・アクセス元 2h
2. 導入対象の確認（牛田さん、山下さん）2h
3. WAFの作成　2h
4. WAFの導入 
    ・外部アクセスなし
        DEV環境へ導入 2h
        誤検知の解消 4h
        STG環境へ導入 2h
        動作確認の実施　※アプリチーム協力
　　　　BLOCKのログ確認（抜け漏れ確認）

    ・外部アクセスあり　※COUNTモードで導入
        DEV環境へ導入
        STG環境へ導入",石崎,未,-,5,,-
,5,セキュリティ改善,Inspectorで検知された脆弱性の解消(自動化),"■要件
考えられる攻撃が「はい」：リアルタイム通知、即時対応（自動化）したい
考えられる攻撃が「いいえ」：数が多いため、優先度を割り振って対応したい
⇒個々の重大な脆弱性に対応するカスタムアクションと、セキュリティパッチを全般的に適用するPatch Manager の二点を実装する方針。

■TODO
本番環境にてシステム構築および動作確認（本番環境への展開は、Patch Manager適用と足並みをそろえたうえで日時を決定する予定）

ステージング環境へのPatch Manager適用（memサーバにつきましては、NTTデータ様に動作検証の依頼）
順次本番環境へのPatch Manager適用
","■DONE
・ステージング環境でのカスタムアクションの検証を完了
・リリース判定を実施。本番環境への展開は、Patch Manager適用と足並みをそろえたうえで日時を決定する予定。

・開発環境gis,lwv,elcサーバへのPatch Manager適用完了。
　現在、ステージング環境の動作検証について調整中。
・開発環境memサーバへのPatch Manager適用完了。
　現在、ステージング環境の動作検証について調整中。",加瀬,未,-,7,,-
,6,運用保守,"K8sマイナーバージョンアップ
※課題管理表 No.39の件","■TODO	
------APチームの動作確認項目が完成次第、後続を実施	-------  ※完成予定週：7/22週頃
5. DEV・STGリリース	
　　・7/31, 8/1午後は避ける（川村さん会議）
     ・上記日程以外でアプリチームへ相談して実施
6. 動作確認	
7. PRDリリース	
8. 動作確認	","1. AWSへの問い合わせ	
　・CSIドライバの自動更新有無について
2. 確認項目の作成	
　・確認方法の確立
　・確認者の決定
　・確認に要する時間を明確化
3. 手順書の作成
4. SREさんへレビューを依頼（手順書・確認項目）",石崎,未,2025/11/26,,,"7/27週
※PRDリリース準備完了"
,7,運用保守,AWS Lambdaランタイムの更新,"■要件
Python3.9のランタイムが廃止されることに伴い、必要な関数のランタイムをバージョンアップする。

■TODO
・移行手順の確立
・アプリチームへのコード対応の依頼","■DONE
・開発/本番環境のLambda関数一覧の作成。
・Lambdaが使用するCloudWatch Logsの整理。
・Lambda関数の要不要調査をアプリチームに依頼。
・",加瀬,未,-,,,-
,8,API基盤,"API基盤CFnを既存Cfnへ組み込み
&
リードレプリカの導入","■TODO
・IaCと実機との差分取り込み ※詳細は補足資料の「差分」を確認
　- CloudFrontキャッシュ設定 10h (ビヘイビア10 * 1h)
　- 監視周り　
    - メトリクスフィルター　2h (1h* 2フィルター)
    - CWAlarm 4h (40min * 5アラーム)
    - SNS　1h
    - EventBridge 1h
　- 細部修正 3h
・API基盤のCloudFormation（Cfn）を既存Cfnに組み込む 2h 
・DEV環境の再作成　4h
  ※DEV, STG環境について、Cfn依存関係から再作成する（杉本さんに了承を得ている）
・アプリチームへ動作確認依頼 2h
・STG環境の再作成 4h
・アプリチームへ動作確認依頼 2h
・PRD環境構築 4h
・アプリチームへ動作確認依頼 2h",,石崎,未,-,10,,-
